project_no,type_of_project,atoll,atoll_code,site_label,lessee_holder,status,source_page,is_continuation,join_candidates,coordinates,coordinate_count,source,source_file
86,Resort Development,Kaafu,K,"Plot of Lagoon
3°55'42.23""N, 73°27'28.02""E",Coolshades Investment Private Limited,Under development,5,False,,"[{""lat"": 3.928397222222222, ""lon"": 73.45778333333334, ""raw"": ""3\u00b055'42.23\""N 73\u00b027'28.02\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
87,Resort Development,Kaafu,K,"Plot of Lagoon (Dhiya Adi Faru)
4°32'6.907""N, 73°37'59.193""E",Premier Equity Pvt. Ltd,Under development,5,False,Dhiya Adi Faru,"[{""lat"": 4.535251944444444, ""lon"": 73.63310916666666, ""raw"": ""4\u00b032'6.907\""N 73\u00b037'59.193\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
88,Resort Development,Kaafu,K,Velassaru Faru,Millenium Capital Management PVT LTD,Under development,5,False,Velassaru Faru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
89,Resort Development,Kaafu,K,"4°2’32.263”N, 73°25’10.367"" E",Samana Ocean Investment Private Limited,Under development,5,False,,"[{""lat"": 4.042295277777778, ""lon"": 73.41954638888889, ""raw"": ""4\u00b02'32.263\""N 73\u00b025'10.367\"" E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
90,Resort Development,Kaafu,K,"4.3717, 73.34417, 4.36537, 73.34709,
4.36648, 73.35554",Alibey Maldives Private Limited,Under development,5,False,,"[{""lat"": 4.3717, ""lon"": 73.34417, ""raw"": ""4.3717, 73.34417""}, {""lat"": 4.36537, ""lon"": 73.34709, ""raw"": ""4.36537, 73.34709""}, {""lat"": 4.36648, ""lon"": 73.35554, ""raw"": ""4.36648, 73.35554""}]",3,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
91,Resort Development,Kaafu,K,"4°4’27.763”N, 73°24’46.269"" E",Maadhoala Private Limited,Under development,5,False,,"[{""lat"": 4.07437861111111, ""lon"": 73.4128525, ""raw"": ""4\u00b04'27.763\""N 73\u00b024'46.269\"" E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
92,Resort Development,Kaafu,K,"Gaafaru Falhu (4°46’54 N, 73 25' 29"" E and
4°43’34”N,73°23’18 ""E)",Maldives Fund Management Corporation Limited,Under development,5,False,Gaafaru Falhu (,"[{""lat"": 4.781666666666666, ""lon"": 73.42472222222223, ""raw"": ""4\u00b046'54 N 73 25' 29\"" E""}, {""lat"": 4.726111111111111, ""lon"": 73.38833333333334, ""raw"": ""4\u00b043'34\""N 73\u00b023'18 \""E""}]",2,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
93,Resort Development,Kaafu,K,"4°22’59.665”N, 73°23’28.883"" E",Keiretsu Private Limited,Under development,5,False,,"[{""lat"": 4.3832402777777775, ""lon"": 73.3913563888889, ""raw"": ""4\u00b022'59.665\""N 73\u00b023'28.883\"" E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
94,Resort Development,Kaafu,K,Emboodhoo (Island 1),Dream Islands Development Pvt Ltd,Under development,5,False,Emboodhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
95,Resort Development,Kaafu,K,"3°55’21.076”N, 73°26’31.761",Arena Private Limited,Under development,5,False,°26'31.761,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
96,Resort Development,Kaafu,K,Fusfaru,Fusfaru Maldives Private Limited,Under development,5,False,Fusfaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
97,Resort Development,Kaafu,K,"Erruhhuraa, Olhigan'dufinolhu and small
island with the feature code LD1727",OGN Private Limited,Under development,5,False,Erruhhuraa|Olhigan'dufinolhu|small with the feature code LD1727,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
98,Resort Development,Kaafu,K,"Plot of Lagoon 4°17’45.500”N, 73°26’44.553""
E",Luxuria Dubai Private Limited,Under development,5,False,,"[{""lat"": 4.295972222222222, ""lon"": 73.44570916666667, ""raw"": ""4\u00b017'45.500\""N 73\u00b026'44.553\""\nE""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
99,Resort Development,Alifu Alifu,AA,Maagaa,Abdulla Jabir,Under development,5,False,Maagaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
100,Resort Development,Alifu Alifu,AA,Madoogali,Noovilu Resort Pvt Ltd,Under development,5,False,Madoogali,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
101,Resort Development,Alifu Alifu,AA,"Plot of Lagoon
3°56'55.08""N, 72°56'44.1""E",Legal Heirs of Late Abdul Rauf,Under development,5,False,,"[{""lat"": 3.9486333333333334, ""lon"": 72.94558333333333, ""raw"": ""3\u00b056'55.08\""N 72\u00b056'44.1\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
102,Resort Development,Alifu Alifu,AA,Medhafushi,Samana IFN Holding Limited,Under development,5,False,Medhafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
103,Resort Development,Alifu Alifu,AA,"Plot of Lagoon 4°5′31.29""N, 72°54′19.76""E
(Bodugaafalhu)",Big Fish Maldives Pvt Ltd,Under development,5,False,Bodugaafalhu,"[{""lat"": 4.092025, ""lon"": 72.9054888888889, ""raw"": ""4\u00b05'31.29\""N 72\u00b054'19.76\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
104,Resort Development,Alifu Dhaalu,ADh,Innafushi,Seagull Group Private Limited,Under development,5,False,Innafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
105,Resort Development,Alifu Dhaalu,ADh,"Plot of Lagoon: Hithifalhu
1 - 3°40'7.65"" N 72°58'19.00""E &
2 - 3°39'45.78"" N 72°57'9.98""E",Villa Air Private Limited,Under development,5,False,Hithifalhu 1,"[{""lat"": 3.6687916666666665, ""lon"": 72.97194444444445, ""raw"": ""3\u00b040'7.65\"" N 72\u00b058'19.00\""E""}, {""lat"": 3.6627166666666664, ""lon"": 72.95277222222222, ""raw"": ""3\u00b039'45.78\"" N 72\u00b057'9.98\""E""}]",2,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
106,Resort Development,Alifu Dhaalu,ADh,"Plot of lagoon: Bodufinolhu Lagoon
3°30'42.95"" N 72°43'45.58""E",Villa Shipping & Trading Company Private Limited,Under development,6,False,Bodufinolhu,"[{""lat"": 3.5119305555555558, ""lon"": 72.72932777777778, ""raw"": ""3\u00b030'42.95\"" N 72\u00b043'45.58\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
107,Resort Development,Alifu Dhaalu,ADh,Heenfaru,"Nuemark Pvt Ltd,",Under development,6,False,Heenfaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
108,Resort Development,Alifu Dhaalu,ADh,Fushidhigga,Maldiviana Group Private Limited,Under development,6,False,Fushidhigga,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
109,Resort Development,Alifu Dhaalu,ADh,Oshagali,Oshagali Investments Private Limited,Under development,6,False,Oshagali,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
110,Resort Development,Alifu Dhaalu,ADh,Bodukaashihuraa,H.M.H.I Company Pvt Ltd,Under development,6,False,Bodukaashihuraa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
111,Resort Development,Alifu Dhaalu,ADh,"Plot of Lagoon 3°53′28.62″N, 72°57′5.74“E
(Genburugaa Falhu)",KSR Marine Services (Maldives) Pvt Ltd,Under development,6,False,Genburugaa Falhu,"[{""lat"": 3.8912833333333334, ""lon"": 72.95159444444445, ""raw"": ""3\u00b053'28.62\""N 72\u00b057'5.74\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
112,Resort Development,Vaavu,V,"Foththeyobodufushi
3°23'40.272""N, 73°39'52.677""E",Amrock Investment (Maldives) pvt ltd,Under development,6,False,Foththeyobodufushi,"[{""lat"": 3.39452, ""lon"": 73.66463250000001, ""raw"": ""3\u00b023'40.272\""N 73\u00b039'52.677\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
113,Resort Development,Vaavu,V,Ambara,Handhuvaru Ocean Pvt Ltd,Under development,6,False,Ambara,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
114,Resort Development,Vaavu,V,Bodumohoraa,Bodumohoraa Investment Private Limited,Under development,6,False,Bodumohoraa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
115,Resort Development,Vaavu,V,Lagoon in Vaavu Atoll,Global Ace Maldives Private Limited,Under development,6,False,in Vaavu Atoll,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
116,Resort Development,Vaavu,V,Kudadhiggaru Falhu,Millennium Capital Management Pvt Ltd,Under development,6,False,Kudadhiggaru Falhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
117,Resort Development,Vaavu,V,"3°32’43.397”N, 73°30’15.829"" E",Veriri Private Limited,Under development,6,False,,"[{""lat"": 3.5453880555555553, ""lon"": 73.50439694444445, ""raw"": ""3\u00b032'43.397\""N 73\u00b030'15.829\"" E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
118,Resort Development,Vaavu,V,"3°37'24.561""N, 73°30'5.784""E",Kaani Hotels and Resorts Private Limited,Under development,6,False,,"[{""lat"": 3.623489166666667, ""lon"": 73.50160666666666, ""raw"": ""3\u00b037'24.561\""N 73\u00b030'5.784\""E""}]",1,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
119,Resort Development,Vaavu,V,"Plot of Lagoon
3°24'18.00""N, 73°45'16.00""E and
3°22'40.00""N, 73°43'58.00""E",Constellation Lagoon PVT LTD,Under development,6,False,,"[{""lat"": 3.405, ""lon"": 73.75444444444445, ""raw"": ""3\u00b024'18.00\""N 73\u00b045'16.00\""E""}, {""lat"": 3.3777777777777778, ""lon"": 73.73277777777778, ""raw"": ""3\u00b022'40.00\""N 73\u00b043'58.00\""E""}]",2,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
120,Resort Development,Meemu,M,"Seedheehuraa and Seedheehuraa
Veligan'du",Marketech Maldives Private Limited,Under development,6,False,Seedheehuraa|Seedheehuraa Veligan'du,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
121,Resort Development,Meemu,M,"Dhekunu Boduveli, Gasveli, Kudausfushi",Mr. Mohamed Manik (A023542),Under development,6,False,Dhekunu Boduveli|Gasveli|Kudausfushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
122,Resort Development,Meemu,M,"Uthuruboduveli, Hurasveli and Uthurugasveli",Island Channels Pvt Ltd,Under development,6,False,Uthuruboduveli|Hurasveli|Uthurugasveli,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
123,Resort Development,Meemu,M,Thuvaru,Coral Reserve Pvt Ltd,Under development,6,False,Thuvaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
124,Resort Development,Faafu,F,En'bulufushi,Naid Trading Private Limited,Under development,6,False,En'bulufushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
125,Resort Development,Faafu,F,Jinnathugau,Akiri Holdings Pvt Ltd,Under development,6,False,Jinnathugau,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
126,Resort Development,Faafu,F,Himithi,"Maldives Overseas Investment Pvt Ltd,",Under development,6,False,Himithi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
127,Resort Development,Faafu,F,Maafushi,Rania Investment Pvt Ltd,Under development,6,False,Maafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
128,Resort Development,Faafu,F,Adhangau,D'Ares Island Private Limited,Under development,6,False,Adhangau,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
129,Resort Development,Dhaalu,Dh,Hiriyaafushi,Hiriyafushi Holdings Pvt Ltd,Under development,7,False,Hiriyaafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
130,Resort Development,Dhaalu,Dh,Hulhuvahi,OGN Private Limited,Under development,7,False,Hulhuvahi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
131,Resort Development,Dhaalu,Dh,Kiraidhoo and Dhebaidhoo,Dhaalu Airport Holding Private Limited,Under development,7,False,Kiraidhoo|Dhebaidhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
132,Integrated Tourist Resort,Dhaalu,Dh,"72°52’35.301”E, 2°58’33.237"" N,
72°52’57.999”E, 2°58’51.603"" N,
72°53’4.765”E, 2°58’43.151"" N,
72°52’42.067”E, 2°58’24.785"" N,
(Plot 1)",Yash Exotic Island Private Limited,Under development,7,False,,"[{""lat"": 2.9758991666666668, ""lon"": 72.87647249999999, ""raw"": ""72\u00b052'35.301\""E 2\u00b058'33.237\"" N""}, {""lat"": 2.9810008333333333, ""lon"": 72.88277749999999, ""raw"": ""72\u00b052'57.999\""E 2\u00b058'51.603\"" N""}, {""lat"": 2.9786530555555557, ""lon"": 72.88465694444444, ""raw"": ""72\u00b053'4.765\""E 2\u00b058'43.151\"" N""}, {""lat"": 2.973551388888889, ""lon"": 72.87835194444443, ""raw"": ""72\u00b052'42.067\""E 2\u00b058'24.785\"" N""}]",4,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
132,Integrated Tourist Resort,Dhaalu,Dh,"72°53’24.316”E, 2°59’10.779"" N,
72°53’49.341”E, 2°59’25.783"" N ,
72°53’54.863”E, 2°59’16.465"" N,
72°53’29.844”E, 2°59’1.461"" N
(Plot 2)",Yash Exotic Island Private Limited,Under development,7,True,,"[{""lat"": 2.9863275000000002, ""lon"": 72.89008777777778, ""raw"": ""72\u00b053'24.316\""E 2\u00b059'10.779\"" N""}, {""lat"": 2.990495277777778, ""lon"": 72.89703916666667, ""raw"": ""72\u00b053'49.341\""E 2\u00b059'25.783\"" N""}, {""lat"": 2.9879069444444446, ""lon"": 72.89857305555556, ""raw"": ""72\u00b053'54.863\""E 2\u00b059'16.465\"" N""}, {""lat"": 2.9837391666666666, ""lon"": 72.89162333333334, ""raw"": ""72\u00b053'29.844\""E 2\u00b059'1.461\"" N""}]",4,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
132,Integrated Tourist Resort,Dhaalu,Dh,"72°54’22.040”E, 2°59’36.416"" N,
72°55’9.437”E, 2°59’47.530"" N,
72°55’11.767”E, 2°59’37.136"" N,
72°54’24.572”E, 2°59’25.717"" N
(Plot 3)",Yash Exotic Island Private Limited,Under development,7,True,,"[{""lat"": 2.993448888888889, ""lon"": 72.90612222222222, ""raw"": ""72\u00b054'22.040\""E 2\u00b059'36.416\"" N""}, {""lat"": 2.9965361111111113, ""lon"": 72.91928805555555, ""raw"": ""72\u00b055'9.437\""E 2\u00b059'47.530\"" N""}, {""lat"": 2.993648888888889, ""lon"": 72.91993527777778, ""raw"": ""72\u00b055'11.767\""E 2\u00b059'37.136\"" N""}, {""lat"": 2.9904769444444446, ""lon"": 72.90682555555556, ""raw"": ""72\u00b054'24.572\""E 2\u00b059'25.717\"" N""}]",4,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
132,Integrated Tourist Resort,Dhaalu,Dh,"72°53’39.121”E, 2°58’45.767"" N ,
72°54’3.913”E, 2°59’0.282"" N,
72°54’5.696”E, 2°58’57.229"" N,
72°53’41.003”E, 2°58’42.628"" N
(Plot 4)",Yash Exotic Island Private Limited,Under development,7,True,,"[{""lat"": 2.9793797222222222, ""lon"": 72.89420027777778, ""raw"": ""72\u00b053'39.121\""E 2\u00b058'45.767\"" N""}, {""lat"": 2.9834116666666666, ""lon"": 72.90108694444444, ""raw"": ""72\u00b054'3.913\""E 2\u00b059'0.282\"" N""}, {""lat"": 2.9825636111111113, ""lon"": 72.90158222222223, ""raw"": ""72\u00b054'5.696\""E 2\u00b058'57.229\"" N""}, {""lat"": 2.9785077777777778, ""lon"": 72.89472305555556, ""raw"": ""72\u00b053'41.003\""E 2\u00b058'42.628\"" N""}]",4,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
133,Resort Development,Dhaalu,Dh,Maahdeli,SAS Capital Private Limited,Under development,7,False,Maahdeli,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
134,Resort Development,Thaa,Th,Ekuruffushifinolhu,Sea Wall Enterpries Pvt Ltd,Under development,7,False,Ekuruffushifinolhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
135,Resort Development,Thaa,Th,Kalhudhiyafushi,"Huravee International Pvt Ltd,",Under development,7,False,Kalhudhiyafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
136,Resort Development,Thaa,Th,Olhugiri,"Popular Maldives Private Limiited,",Under development,7,False,Olhugiri,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
137,Resort Development,Thaa,Th,Dhiffushi,Angiri Resorts Management & Operation Pvt Ltd,Under development,7,False,Dhiffushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
138,Resort Development,Thaa,Th,Olhufushi and Olhufushifinolhu,Subsolar Investments Private Limited,Under development,7,False,Olhufushi|Olhufushifinolhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
139,Resort Development,Thaa,Th,Maagulhi,Accord Insurance Brokers Maldives Pvt Ltd,Under development,7,False,Maagulhi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
140,Resort Development,Thaa,Th,Kurandhuvaru,Accord Insurance Brokers Maldives Pvt Ltd,Under development,7,False,Kurandhuvaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
141,Resort Development,Thaa,Th,Fenmeerufushi and Olhudhiyafushi,M.G.H Investment Pvt Ltd,Under development,7,False,Fenmeerufushi|Olhudhiyafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
142,Resort Development,Laamu,L,Baresdhoo,"Maldives Marketing and Public Relations Corporation
Limited",Under development,7,False,Baresdhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
143,Resort Development,Laamu,L,Gan Medical Resort,Island Development Company Pvt. Ltd,Under development,7,False,Gan Medical Resort,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
144,Resort Development,Laamu,L,Guraidhoo,"AUR OVERSEAS HOLDINGS LIMITED
(MAURITIUS)",Under development,8,False,Guraidhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
145,Resort Development,Laamu,L,Hanhushi,FAM Holdings Pvt Ltd,Under development,8,False,Hanhushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
146,Resort Development,Laamu,L,Boduhura,Heavy Load Maldives Private Limited,Under development,8,False,Boduhura,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
147,Resort Development,Laamu,L,Bodumugnafushi,Emirates Hospitality Private Limited,Under development,8,False,Bodumugnafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
148,Resort Development,Laamu,L,Gasgan'dufinolhu,Bison Maldives Pvt Ltd,Under development,8,False,Gasgan'dufinolhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
149,Resort Development,Gaafu Alifu,GA,Dhevvamaagala,Nalaveli Maldives Pvt Ltd,Under development,8,False,Dhevvamaagala,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
150,Resort Development,Gaafu Alifu,GA,Keredhdhoo,Keredhoo Investment Private Limited,Under development,8,False,Keredhdhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
150,Integrated Tourist Resort,Gaafu Alifu,GA,Hirihuttaa (swap of R. Ehthigili),"Amin Constructions Pvt Ltd
52 Bodhuthakurufaanu Magu,",Under development,8,True,R. Ehthigili|Hirihuttaa ( R. Ehthigili),[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
150,Resort Development,Gaafu Alifu,GA,Hinaamaagalaa (swap of R. Ehthigili),Keredhoo Investment Private Limited,Under development,8,True,R. Ehthigili|Hinaamaagalaa ( R. Ehthigili),[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
151,Resort Development,Gaafu Alifu,GA,Bakeththa (swap of R. Ehthigili),,Under development,8,False,R. Ehthigili|Bakeththa ( R. Ehthigili),[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
152,Resort Development,Gaafu Alifu,GA,Mahadhdhoo,Travista Resorts Pvt Ltd,Under development,8,False,Mahadhdhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
153,Resort Development,Gaafu Alifu,GA,Maarandhoo,Maarandhoo Investments Pvt Ltd,Under development,8,False,Maarandhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
154,Resort Development,Gaafu Alifu,GA,Vodamulaa,United International Hotel Group Co. W.L.L,Under development,8,False,Vodamulaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
155,Resort Development,Gaafu Alifu,GA,Kondeymatheelaabadhoo,Laabadhoo Private Limited,Under development,8,False,Kondeymatheelaabadhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
156,Resort Development,Gaafu Alifu,GA,Faruhulhedhoo,Millennium Capital Management Pvt Ltd,Under development,8,False,Faruhulhedhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
157,Resort Development,Gaafu Alifu,GA,Beyrumauddoo,Mauddua Holdings Private Limited,Under development,8,False,Beyrumauddoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
158,Resort Development,Gaafu Dhaalu,GDh,Lonudhuahuttaa,One and Half Degree Maldives Pvt. Ltd,Under development,8,False,Lonudhuahuttaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
159,Resort Development,Gaafu Dhaalu,GDh,Kaishidhoo,Kaishidhoo Resort Pvt Ltd,Under development,8,False,Kaishidhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
160,Resort Development,Gaafu Dhaalu,GDh,Vatavarrehaa,Yacht Tours Maldives Pvt Ltd .,Under development,8,False,Vatavarrehaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
161,Resort Development,Gaafu Dhaalu,GDh,Gazeera,Gazeera Private Limited,Under development,8,False,Gazeera,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
162,Resort Development,Gaafu Dhaalu,GDh,Kan'dahalagalaa,Pioneer Maldives Private Limited,Under development,8,False,Kan'dahalagalaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
163,Resort Development,Gaafu Dhaalu,GDh,Kodegalaa,ITACA home maldives private limited,Under development,8,False,Kodegalaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
164,Resort Development,Gaafu Dhaalu,GDh,Raaverinkolhuhuttaa,Real Asset Investment Company LLC,Under development,8,False,Raaverinkolhuhuttaa,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
165,Resort Development,Seenu,S,Dhoogas,Maldives Ports Limited,Under development,9,False,Dhoogas,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
